nama_usaha,alamat_usaha,badan_usaha,penanggung_jawab,wilayah,jenis_usaha
Grand Monggo Mas,Jl. Daan Mogot No. 49 RT005/RW003,,Ivan Doly,Jakarta Barat,Restoran
Grand Ollimo,Jl. Hayam Wuruk No. 102,PT.Hajasa Bersaudara,Harryanto BK,Jakarta Barat,Restoran
Grand Paragon,Jl. Gajah Mada No. 126,PT. Gajah Mada Square,Theressia,Jakarta Barat,Restoran
Grandma Suki,Jl. Puri Indah Raya Blok U1 Lt. 1-3,PT. Grandma Food International,Zuhari Lowis,Jakarta Barat,Restoran
Grandma Suki,"Puri X'tertainment, Jl. Puri Indah Raya Blok U1 Lt.",PT. Grandma Food International,Zuhari Lowis,Jakarta Barat,Restoran
Hachi Hachi Bistro,Jl. Letjen. S. Parman Kav. 21,CV.Delapan Delapan Sejahtera,Alfred Charano,Jakarta Barat,Restoran
Hachi Hachi Bistro,"Central Park, Jl. Letjen. S. Parman Kav. 28",CV. Delapan Delapan Sejahtera,Alfred Charano,Jakarta Barat,Restoran
Hakata Ikkousha,"Mal Taman Anggrek, Jl. Letjen. S. Parman Kav. 2",PT. Swastika Sukses Perkasa,David Halim,Jakarta Barat,Restoran
Han Gang,"Mal Taman Anggrek, Jl. Letjen. S. Parman Kav. 2",PT. Prioritas Prima Ideal,Arifin Leo,Jakarta Barat,Restoran
Hanamasa,"Mal Puri Indah, Jl. Puri Agung Raya",PT. Adi Boga Cipta,"H. Rachmatullah, SE",Jakarta Barat,Restoran
Hanamasa,Jl. Puri Agung Raya,PT. Adi Boga Cipta,"Rachmatullah, SE",Jakarta Barat,Restoran
Hanamasa,"Mal Taman Anggrek, Jl. Letjen. S.Parman",PT. Adi Boga Cipta,H.Rachmatullah,Jakarta Barat,Restoran
Handels,Jl. Kopi No. 18A RT005/RW001,PT. Vector Tri Cokro,Bambang Sulistio,Jakarta Barat,Restoran
Handel's,Jl. Kopi No. 18A RT005/RW001,PT. Vector Tri Cokro,Bambang Sulistio,Jakarta Barat,Restoran
Happy Puppy,"Komp. Mutiara Taman Palem, Jl. Lingkar Luar Barat Blok A ",CV.Harmoni Kreasi,Hadisaputra Sugianto,Jakarta Barat,Restoran
Happy Puppy,Jl. Raya Panjang Blok. Z2/41-42,PT. Cipta Happy Sempurna,Iwan Sunaryo,Jakarta Barat,Restoran
Hay Thien,Jl. Mangga Besar I No. 34,Lanny Tjokro,Lanny Tjokro,Jakarta Barat,Restoran
Hay Thien,Jl. Puri Indah Raya Blok A No. 1,Basuki Samsudin,Basuki Samsudin,Jakarta Barat,Restoran
Haze,"THR. Lokasari Blok A/33-39, Jl. Mangga Besar",PT. Hanggar Mitra,Djohari Zainurdin,Jakarta Barat,Restoran
Haze,"Komp. Lokasari, Jl. Mangga Besar A/33-39",PT. Hanggar Mitra,Djohari Zainurdin,Jakarta Barat,Restoran
Healthy Choice,"Komp. Graha Mas, Jl. Raya Pejuangan Blok A",PT. Indospirit Natura,Stephanus Kurniadi S,Jakarta Barat,Restoran
Henis,Jl. Raya Mangga Besar No. 2-F,Pudjiyanto Laimena,Pudjiyanto Laimena,Jakarta Barat,Restoran
Hipsies Kitchen And Bar,"Central Park, Jl. Letjen S. Parman",PT. Boga Karya Sakti,Adrianus Eka Putra,Jakarta Barat,Restoran
Hm. Karaoke,"Gd. Season City Lt. 3, Jl. Latumenten No. 33",PT. Arena Sarana Gembira,Sudjadi Budiono,Jakarta Barat,Restoran
