nama_usaha,alamat_usaha,badan_usaha,penanggung_jawab,wilayah,jenis_usaha
Hog's Breath Café,"Central Park TGF 15, Jl. Letjen. S. Parman Kav. 2",PT. Indophoenix Global,Rio Hermanto,Jakarta Barat,Restoran
Hokben,Jl. Tanjung Duren I No. 360B,PT. Eka Bogainti,Hendra Arifin,Jakarta Barat,Restoran
Hokben,Jl. Pesanggrahan Raya No. 12A,PT. Eka Boga Inti,Hendra Arifin,Jakarta Barat,Restoran
Hokben,"Matahari Mal, Jl. Daan Mogot Km. 15.6",PT. Eka Bogainti,Hendra Arifin,Jakarta Barat,Restoran
Hokben,"Mal Puri Indah, Jl. Puri Agung Raya Lt. 2 Unit 241",PT. Eka Bogainti,Hendra Arifin,Jakarta Barat,Restoran
Hokben,Jl. Mangga Besar Raya No. 85D,PT. Eka Boga Inti,Hendra Arifin,Jakarta Barat,Restoran
Hokben,"Central Park, Jl. Letjen. S. Parman",PT. Eka Bogainti,Hendra Arifin,Jakarta Barat,Restoran
Hokben,"Seasons City, Jl. Prof. Dr. Latumenten No. 33",PT. Eka Bogainti,Hendra Arifin,Jakarta Barat,Restoran
Hokben,"Mal Ciputra, Jl. Tanjung Duren Utara",PT. Eka Bogainti,Hendra Arifin,Jakarta Barat,Restoran
Home Town,Jl. Labu No. 10 RT002/RW006,Abdoellah Oely Situmeang,Abdoellah Oely Situmeang,Jakarta Barat,Restoran
Home Town,Jl. Labu No. 10 RT002/RW006,Abdoellah Oely Situmeang,Abdoellah Oely Situmeang,Jakarta Barat,Restoran
Hong Men,Jl. Labu No. 1B dan 1C RT001/RW006,PT. Sahabat Kuliner Maju Bersama,Kardiman,Jakarta Barat,Restoran
Hongkong Cafe,"Central Park, Jl. Letjen S. Parman Kav. 28",PT. Arena Multiboga,Michael Sofian Utomo,Jakarta Barat,Restoran
Hongkong Jumbo,Jl. Raya Arteri Kelapa Dua No. 29,PT. Vita Prodana,Darwis Syahrial,Jakarta Barat,Restoran
Hua Ming Lou,Jl. Gajah Mada No. 147,,Susana Iskandar,Jakarta Barat,Restoran
Hua Shen,"THR Lokasari, Jl. Mangga Besar Raya No. 81",PT. Kemilau Pangan Citra,Evelyne Kioe,Jakarta Barat,Restoran
Hunan Kitchen,Jl. Mangga Besar I No. 61ML,PT. Hunan Cita Rasa,Regina Halim,Jakarta Barat,Restoran
Hungry Hiro,"Gd. Seasons City Lantai II Ubit A03&A07, Jl. Prof. Latumenten No. 33",PT. Takemori Asia Abadi,Leily Rosalia Gema,Jakarta Barat,Restoran
Hungry Town,Jl. Tanjung Duren Utara I,PT. Popindo Selera Prima,Benny Hadisurjo,Jakarta Barat,Restoran
I - Ta Suki,"Central Park, Jl. Letjen. S. Parman Kav. 28",PT. Damai Berkat Bersaudara,Simon Nurgiri Simansjah,Jakarta Barat,Restoran
Ichiban Sushi,"Puri Indah Mal, Jl. Puri Agung Raya",PT. Brostindo Prima Indonesia,Sumarno Ngadiman,Jakarta Barat,Restoran
Ichiban Sushi,Jl. Tanjung Duren Utara I,PT. Brostindo Prima Indonesia,Teddy Harsono,Jakarta Barat,Restoran
Ikkudo Ichi,"Central Park, Jl. Letjen. S. Parman Kav. 28",PT. Mie Sentral Sejahtera,Irene Tjahyadi,Jakarta Barat,Restoran
Illigal's,Jl. Hayam Wuruk No. 108,PT. Sumber Sejahtera Sempurna,Khoe Yam Kusuma,Jakarta Barat,Restoran
Imperial Cakery,"Siloam Hospitals, Jl. Raya Pejuangan Kav. 8",PT. Adicipta Boga Intiprima,Abigail Djojonegoro,Jakarta Barat,Restoran
Imperial Cakery,Jl. Letjen. S.Parman,PT.Adicipta Boga Intiprima,Abigail Djojonegoro,Jakarta Barat,Restoran
Imperial Chef,"Mal Taman Anggrek, Jl. Letjen. S.Parman Kav. 2",PT. Selera Utama Makmur,Ibin Bachtiar,Jakarta Barat,Restoran
Imperial Chef,Jl. Hayam Wuruk No. 126,PT. Selera Pangeran Jayakarta,Lin Manuhutu,Jakarta Barat,Restoran
Inul Vizta,Jl. Letjen. S.Parman Kav. 21,PT. Edelwais Abadi International,Tjoeng Mie Lia,Jakarta Barat,Restoran
Inul Vizta,Komp. Ruko Sunrise Garden Blok X No. 5-7,CV. Vizta Inti Gemilang,Jemmy Robert,Jakarta Barat,Restoran
Inul Vizta Family Ktv,"Central Park, Jl. Letjend. S. Parman Kav. 28",CV. Vizta Central Park,Wisnu Go,Jakarta Barat,Restoran
Jade Imperial,Jl. Gajah Mada No. 126,PT.Citra Rasa Ninusa,Juliana Tandiono,Jakarta Barat,Restoran
Jakarta Fried Chicken,"RS. Harapan Kita, Jl. Letjen.S.Parman Kav. 87",PT.Ekalaya Saputra,Kresna Ekalaya,Jakarta Barat,Restoran
Jala Jala,"Mal Taman Anggrek, Jl. Letjen S. Parman No. 21",CV. Inti Sari Laut,Suman Yamin,Jakarta Barat,Restoran
Joni Steak,Jl. Gajah Mada No. 91 RT006/RW006,,Joni Samsul Bahri,Jakarta Barat,Restoran
Jun Njan,"Puri Indah Mall, Jl. Puri Agung Raya Lt. 2 No. 203",PT. Sedap Buat Kemakmuran,Bobby Chandra,Jakarta Barat,Restoran
Jun Njan,"Central Park Lt. LG, Jl. Tanjung Duren Raya",PT. Saputra Perkasa Abadi,Ferry Saputra,Jakarta Barat,Restoran
K - One,"Kedoya Center A - 3, Jl. Raya Pejuangan No. 1R",-,Leonardi Wiraatmadja,Jakarta Barat,Restoran
Kafe Batavia,Jl. Pintu Besar Utara No. 14,PT. Kafé Batavia Fatahillah,Leonard Pandy Phua,Jakarta Barat,Restoran
Kafe Betawi,"Central Park, Jl. Letjen.S.Parman Kav. 28",PT. Citra Rasa Betawi,Johannes Peddy W,Jakarta Barat,Restoran
Kamseng,Jl. Mangga Besar I No. 26,Noor Haslim,Noor Haslim,Jakarta Barat,Restoran
Kemangi,Jl. Ruko Puri Indah Blok.A No. 6,Sarni,Sarni,Jakarta Barat,Restoran
Kenny Rogers,Jl. Puri Agung,PT. Boga Lestari Sentosa,Budhi Purnama Utomo,Jakarta Barat,Restoran
Kenny Rogers,Jl. Puri Agung,PT. Boga Lestari Sentosa,Budhi Purnama Utomo,Jakarta Barat,Restoran
Kentucky Fried Chicken,"Mal Taman Anggrek, Jl. Letjen. S. Parman",PT. Fast Food Indonesia,Rudy Tanudjaya S,Jakarta Barat,Restoran
Kentucky Fried Chicken,Jl. Tomang Tol Raya No. 50,PT. Fast food Indonesia,Rudy Tanudjaya Saputra,Jakarta Barat,Restoran
Kentucky Fried Chicken,THR. Lokasari Blok C No. 1,PT. Fast food Indonesia,Rudy Tanudjaya Saputra,Jakarta Barat,Restoran
Kentucky Fried Chicken,"Komp. Citraland Lt. V No. 14-16, Mal Ciputra",PT. Fast food Indonesia,Rudy Tanudjaya Saputra,Jakarta Barat,Restoran
Kentucky Fried Chicken,"Taman Semanan Indah, Jl. Raya Duri Kosambi",PT. Fast food Indonesia,Rudy Tanudjaya S,Jakarta Barat,Restoran
Kentucky Fried Chicken,"Plaza Glodok, Jl. Pinangsia Raya",PT. Fast food Indonesia,Rudy Tanudjaya Saputra,Jakarta Barat,Restoran
Kentucky Fried Chicken,"Season City, Jl. Jembatan Besi No. 33",PT. Fast food Indonesia,Rudy Tanudjaja S,Jakarta Barat,Restoran
Kentucky Fried Chicken,Jl. Taman Stasiun Kota No. 1 RT006/RW006,"PT. Fast Food Indonesia, Tbk",Rudy Tanudjaya S,Jakarta Barat,Restoran
Kentucky Fried Chicken,Jl. Raya Gajah Mada No. 126,PT. Fast food Indonesia,Rudy Tanudjaya S.,Jakarta Barat,Restoran
Kentucky Fried Chicken,Jl. Tanjung Duren Raya No. 34,PT. Fast food Indonesia,Rudy Tanudjaya S,Jakarta Barat,Restoran
Kentucky Fried Chicken,Jl. Raya Kebayoran Lama Pal 7 No. 24 Lt.3,PT. Fast food Indonesia,Rudy Tanudjaya Saputra,Jakarta Barat,Restoran
Kentucky Fried Chicken,"Komp. Daan Mogot, Jl. Kintamani Raya, Jl. Tanah Lot ",PT. Fast food Indonesia,Rudy Tanudjaya,Jakarta Barat,Restoran
Kentucky Fried Chicken,Jl. Daan Mogot No. 163A,PT. Fast food Indonesia,Rudy Tanudjaya Saputra,Jakarta Barat,Restoran
Kentucky Fried Chicken,Jl. Lingkar Luar Barat RT001/RW002,PT. Fast food Indonesia,Rudy Tanudjaya Saputra,Jakarta Barat,Restoran
Kentucky Fried Chicken,"Mal Puri Indah, Jl. Puri Agung",PT. Fast food Indonesia,Rudy Tanudjaya S,Jakarta Barat,Restoran
Kentucky Fried Chicken,Jl. Tanjung Duren Raya No. 34,PT. Fast food Indonesia,Rudy Tanudjaya S,Jakarta Barat,Restoran
Kentucky Fried Chicken,Jl. Kebon Jeruk Raya 8 RT006/RW012,PT. Fast food Indonesia,Rudy Tanudjaya S,Jakarta Barat,Restoran
Kentucky Fried Chicken,"Roxi Square, Jl. Kyai Tapa No. 1",PT. Fast food Indonesia,Rudi Tanudjaya Saputra,Jakarta Barat,Restoran
Kentucky Fried Chicken,"Hypermart Puri Indah, Jl. Puri Indah Raya",PT. Fast food Indonesia,Rudy Tanudjaya S,Jakarta Barat,Restoran
Kentucky Fried Chicken,Jl. Hayam Wuruk No. 103,PT. Fast food Indonesia,Rudy Tanudjaya Saputra,Jakarta Barat,Restoran
Kin No Taki,"Ciputra Mal, Jl.Tanjung Duren Raya",PT. Ryori Nusantara,Arifin Siman,Jakarta Barat,Restoran
King Nursijan,Ruko Taman Palem Lestari Blok D1 No. 18,,Irwan Harnoko,Jakarta Barat,Restoran
Kitchenette,"Central Park Mall Ground Floor, Jl. Letjen.S. Parman",PT. Kitchenette Lestari,Brian Ivan Sutanto,Jakarta Barat,Restoran
Kiyadon,"Mal Taman Anggrak, Jl. Letjend. S. Parman",PT. Jaya Indonippon Abadi,Ramon B Liando,Jakarta Barat,Restoran
Kiyadon Sushi,"Central Park, Jl. Tanjung Duren Raya Kav. 5 - 9",PT. Kaiten Jaya Abadi,Ramon Benyamin Liando,Jakarta Barat,Restoran
Kiyadon Sushi,"Puri Indah CBD, Jl. Puri Indah Raya Blok U1",PT. Jaya Indonippon Abadi,Ramon Benyamin Liando,Jakarta Barat,Restoran
Kopitiam,Jl. Letjen. S. Parman Kav. 28,PT. Bagus Kopitiam International,Norman Soelystio,Jakarta Barat,Restoran
Kopitiam,"Mal Taman Anggrek, Jl. Letjen S. Parman",PT. Bagus Kopitiam International,Norman Soelystio,Jakarta Barat,Restoran
Kopitiam,Jl. Letjen. S. Parman Kav. 28,PT. Bagus Kopitiam International,Norman Soelystio,Jakarta Barat,Restoran
Kuahnya,Ruko Taman Palem Lestari D1 No. 19,,Hiu Marsono,Jakarta Barat,Restoran
L&L Hawaiian Barbecue,"Mal Central Park Lt. 3 Unit L3-121, Jl. Letjen. S.Parman",PT. Mulia Cita Rasa,Norman Wijaya,Jakarta Barat,Restoran
La Biere,"Central Park TGF Floor, Jl. Letjen. S. Parman ",PT. Diva Sutan Kuliner,Eva Tanuri,Jakarta Barat,Restoran
La Finestra Ristorante,"Central Park, Jl. Letjen.S.Parman Kav. 28",PT. Meranti Magsaysay,"Baheramsyah Jayanegara, SH",Jakarta Barat,Restoran
Lac Mei Che Huo Kuo,Jl. Mangga Besar I No. 63,PT.Lac Mei Che Indonesia,Lie Hok Nen,Jakarta Barat,Restoran
Lavicas Cafe,Jl. Panjang Arteri Kelapa Dua No. 29,PT. Vita Prodana,Darwis Syahrial,Jakarta Barat,Restoran
Le Vintage Wine & Spirit,"Lotte Mart Taman Surya, Jl. Taman Surya V",PT. Dima Rioja Internasional,Iskandar Budianto,Jakarta Barat,Restoran
Lei Garden,Jl. Gajah Mada No. 188 Blok A1,PT. Aritama Mandiri,Nanang,Jakarta Barat,Restoran
Liebar,"Central Park Mall Lt. 8 Lot 3A, Jl. Letjend S. Parman",PT. Nebula Interten,Irwan Gunawan Lie,Jakarta Barat,Restoran
Little Penang,"Mal Puri Indah, Jl. Puri Agung",PT. Panca Mitrasari Lestari,Bernt Hanlee Ramli,Jakarta Barat,Restoran
Little Penang,Jl. Puri Agung,PT.Panca Mitrasari Mandiri,Bernt Hanlee Ramli,Jakarta Barat,Restoran
Little Sheep Shabu Shabu,"Apartemen Mediterania, Jl. Gajah Mada No. 174",PT. Prima Selera,Srie Martina,Jakarta Barat,Restoran
Liyen,Jl. Asemka Raya No. 168A,Edwin Sutowo Elititin,Edwin Sutowo Elititin,Jakarta Barat,Restoran
Luciole Bistro,"Central Park Mall, Jl. S. Parman Kav. 28",PT. Ester Bogatama Raya,Emmy Majanirmala,Jakarta Barat,Restoran
Mao Jia Cai,Jl. Gajah Mada Raya No. 174,T. Mao Jia CaiPt,Surya Halim,Jakarta Barat,Restoran
Marno's Café,Jl. Bandengan Selatan No. 14,CV. Dunia Baru,Sumarno,Jakarta Barat,Restoran
Marugame Udon,"Central Park-Podomoro City, Jl. Letjen. S.Parman",PT. Sriboga Marugame Indonesia,Budi Setiawan,Jakarta Barat,Restoran
Marutama Ra - Men,"Puri Indah Mall  Lt. 2 # SF-240 A, Jl. Puri Agung",PT. M. Ramen,Henky Rusli,Jakarta Barat,Restoran
Maxi Bistro Restaurant,Jl. Letjen.S.Parman Kav. 17-18,PT.Maxi Jaya Sentosa,Okim Suwarno,Jakarta Barat,Restoran
May Star,"Central Park, Jl. LetJend. S. Parman Kav. 28",PT. Abadi Makmur Jaya Sejahtera,Halim Juhanim,Jakarta Barat,Restoran
Mbah Jingkrak,Jl. Pesanggrahan No. 8,PT. Nailanisa Amanah,M. Omar Fazni,Jakarta Barat,Restoran
Mc Donalds,"Jl. Panjang, Jl. Raya Arteri Kelapa Dua No. 6",PT. Rekso Nasional Food,Sukowati Sosrodjojo,Jakarta Barat,Restoran
Mc Donald's,"Mal Daan Mogot, Jl. Daan Mogot KM. 16 RT001",PT. Rekso Nasional Food,SUKOWATI SOSRODJOJO,Jakarta Barat,Restoran
Mc Donald's,Jl. Ruko Green Garden Blok I-9/1-2,PT. Rekso Nasional Food,Sukowati Sosrodjojo,Jakarta Barat,Restoran
Mc Donald's,"Taman Alfa, Jl. Raya Joglo RT009/RW003",PT. Rekso Nasional Food,Sukowati Sosrodjojo,Jakarta Barat,Restoran
Mc Donald's,"Citra Garden City, Komp. Perum Citra 6 Blok L.3",PT. Rekso Nasional Food,Sukowati Sosrodjojo,Jakarta Barat,Restoran
Mc Donald's,Jl. Daan Mogot,PT.Rekso Nasional Food,Sukowati Sosrodjojo,Jakarta Barat,Restoran
Mc Donald's,"Komp. Perum Puri Indah, Jl. Puri Indah Raya ",PT. Rekso Nasional Food,Sukowati Sosrodjojo,Jakarta Barat,Restoran
Mc Donald's,"Taman Alfa, Jl. Raya Joglo RT009/RW003",PT. Rekso Nasional Food,Sukowati Sosrodjojo,Jakarta Barat,Restoran
Mc Donald's,THR Lokasari Blok B/38 & 40,PT. Rekso Nasional Food,Sukowati Sosrodjojo,Jakarta Barat,Restoran
Mc Donald's,"Mal Taman Anggrek, Jl. Letjen. S. Parman",PT. Rekso Nasional Food,SUKOWATI SOSRODJOJO,Jakarta Barat,Restoran
Metropolitan,Jl. Pesanggrahan No. 7 D.7 E RT011/RW003,,Surjadi Salikin,Jakarta Barat,Restoran
Michel's Patisserie,Jl. Letjen. S. Parman Kav. 28 Unit L.259 LG Floor,PT. Pangansari Utama,Lestari Moerdijat,Jakarta Barat,Restoran
Midori,Rukan Puri Niaga II Blok J. No. 2G,,Hariono,Jakarta Barat,Restoran
Mie Ayam Pinangsia,Jl. Pinangsia Raya No. 1-B,Mie Ayam Pinangsia,Joenoes Widjaya,Jakarta Barat,Restoran
Milles,"Lokasari Plaza Lt. IV, Jl. Mangga Besar Raya",PT. Hanggar Mega Musik Club,Setiadi Kumala,Jakarta Barat,Restoran
Ministry Of Beer,"Puri X'tertainment Pavilion St. Moritz, Jl. Puri Indah",PT. Mob Global Group,Michael Alamsjah,Jakarta Barat,Restoran
Mister Baso,Jl. Letjen. S.Parman Kav. 17 - 18,PT. Mister Baso Indonesia,Fenny Megalia Handoko,Jakarta Barat,Restoran
Mister Baso,Jl. Letjen. S.Parman Kav. 17 - 18,PT. Mister Baso Indonesia,Fenny Megalia Handoko,Jakarta Barat,Restoran
Mister Baso,Jl. Prof. Dr. Latumenten No. 33,,Setiawati Njauw,Jakarta Barat,Restoran
Mix Max,Jl. Mangga Besar Raya No.40 RT002/RW002,PT.Top Bread,Hami Wardimawati,Jakarta Barat,Restoran
Mixx Grill,"Central Park, Jl. Tanjung Duren Raya No. 5-9",PT. Jaddi Maxxindo Makmur,Danandjaja Wanandi,Jakarta Barat,Restoran
Mr. Locus,"Plaza Slipi Jaya, Jl. Letjen.S.Parman Kav. 17-18",PT. Locus Entertainment,Danil,Jakarta Barat,Restoran
Mr. Pancake,Jl. Puri Agung,CV. Pancake Cipta Rasa,Helmi Subiyanto,Jakarta Barat,Restoran
Nabemono Suki & Japanese Resto,Jl. Puri Kencana Blok M4 No. 1,PT. PANICE NUSANTARA BOGA,Ardiyanto Wirawan,Jakarta Barat,Restoran
Nan Xiang & Northen Chinese Cuisine,Jl. Gajah Mada No. 126,PT. Royal Citra Rasa,Christian,Jakarta Barat,Restoran
Nan Xiang & Northern Chinese Chisine,Jl. Hayam Wuruk No. 72,PT. Royal Citra Rasa,Anche Anthonius,Jakarta Barat,Restoran
Nan Xiang Steamed Bun,"Mal Taman Anggrek, Jl. Letjend. S. Parman",PT. Royal Citra Rasa,Christian,Jakarta Barat,Restoran
Nanny's Pavillon,Jl. Letjen. S.Parman Kav. 28,PT. Wanata Jaya Cipta,Melisa,Jakarta Barat,Restoran
Nanxiang &  Northern Chinese Cuisine,Jl. Gajah Mada No. 126 LG No. 07,PT. Royal Citra Rasa,Christian,Jakarta Barat,Restoran
Nasi Tim Baru,Jl. Raya Mangga Besar No. 38E,,Lilianty Susilo,Jakarta Barat,Restoran
New Town,Ruko Permata Lokasari Blok B No. 1,PT. Graha Indo Sejahtera,Sumiwa,Jakarta Barat,Restoran
New Town,Komp. THR Lokasari B/1-18 RT002/RW002,PT. Graha Indo Sejahtera,Suwiman,Jakarta Barat,Restoran
New Unicorn,Jl. Mangga Besar Raya Blok C No. 1,PT. Nuha Tritunggal Mulia Perkasa,Lyna Rusli,Jakarta Barat,Restoran
Ni Hao,Jl. Komplek Perum Puri Indah,PT. Nihao Jaya Makmur,Herry Sugandhi,Jakarta Barat,Restoran
Ninety Nine,Jl. Pesanggrahan Raya No. 2 RT001/RW009,PT. Supra Boga Lestari,Nugroho Setiadharma,Jakarta Barat,Restoran
Noodle Café,Jl. Letjen. S. Parman,PT. Indo Resto Makmur,Hardy Widjaja,Jakarta Barat,Restoran
Nusa Indah,Jl. Bedugul Blok I A No. 3A - 5A,Teddy Poernomo Poetra,Teddy Poernomo Poetra,Jakarta Barat,Restoran
Oasis,Jl. Mangga Besar Raya No. 64B,PT. Mega Oasis Utama,Thio Tjun Hauw,Jakarta Barat,Restoran
Oasis,Jl. Mangga Besar Raya No. 64B,PT. Mega Oasis Utama,Thio Tjun Hauw,Jakarta Barat,Restoran
Old City,Jl. Kali Besar Barat No. 22,PT. Progres Karya Sejahtera,Martin Unsulangi Heng,Jakarta Barat,Restoran
Old Town,Jl. Labu I- 1J RT001/RW006,PT. Resto Keluarga Indonesia,Evy Meilani,Jakarta Barat,Restoran
Old Town White Coffee,"Mal Puri Indah GF No. 25-26, Jl. Puri Agung",PT. Langgeng Satya Pratama,Liam Hendra,Jakarta Barat,Restoran
Old Town White Coffee,Jl. Letjen. S. Parman Kav. 21,PT. Bumbu Hijau Panen Lestari,Hendri A Suntoso Jacob,Jakarta Barat,Restoran
Oldtown White Coffee,"Jl. Panjang Arteri No. 26, Kedoya Utara",PT. Mahapana,Liem Carrington,Jakarta Barat,Restoran
Olive Vine,"Mal Central Park, Jl. Letjend S. Parman Kav. 28L",PT. Olive Vine Indonesia,Tjoa Djoe Tjeng,Jakarta Barat,Restoran
Olive Vine,"Mal Central Park, Jl. Letjend S. Parman Kav. 28L",PT. Olive Vine Indonesia,Tjoa Djoe Tjeng,Jakarta Barat,Restoran
Open Door,"Apartemen Royal Mediterania Garden Residences, Jl. Tanjung Duren Raya, Grogol Petamburan",PT. Top Edisia Niaga,Chandra Kamajaya,Jakarta Barat,Restoran
Palem Café,"Central Park, Jl. Letjen. S. Parman Kav. 28",PT. Sari Boga Lestari,Ferry Lawrentius Hollen,Jakarta Barat,Restoran
Pancious Pancake House,"Mal Taman Anggrek, Jl. Letjen.S.Parman Kav. 21",PT. Pancious Tirta Jaya,Fredy Tjong,Jakarta Barat,Restoran
Paradise Dynasty,"Central Park Lt. LG U L-139 & L-140, Jl. Letjen. S. Parman ",PT. Boga Makmur Dinasti,Kusnadi Rahardja,Jakarta Barat,Restoran
Paradise Inn,"Mall Puri Indah Lt. 1 Unit 102, Jl. Puri Agung Raya",PT. Boga Makmur Intipangan,Kusnadi Rahardja,Jakarta Barat,Restoran
Paregu,"Kedoya Centre Blok A, Jl. Raya Perjuangan No. 1",PT. Ragam Bina Niaga,Harjanti Lukman,Jakarta Barat,Restoran
Pasta De Waraku,Jl. Letjen. S.Parman Kav. 21,PT. Wamaya Jaya,Brian Ivan Sutanto,Jakarta Barat,Restoran
Payuri,Jl. Kamboja No. 18 RT010/RW001,PAYURI,Jola Mandagi,Jakarta Barat,Restoran
Pegasus,Jl. Pinangsia II No. 14-16,PT. Pegasus Mitra Makmur,Agus Sandy Tanudjaya,Jakarta Barat,Restoran
Penang Bistro,"Central Park, Jl. Letjen S. Parman Kav. 28",PT. Arena Gourment,Michael Sofian Utomo,Jakarta Barat,Restoran
Penang Paradise,"Mal Taman Anggrek, Jl. Letjen.S.Parman Kav. 21",PT. Panca Mitrasari Lestari,Sumarno Ngadiman,Jakarta Barat,Restoran
Pepper Lunch,"Mal Ciputra, Jl. Letjen S. Parman",PT. Boga Makmur Prima,Kusnadi Rahardja,Jakarta Barat,Restoran
Pepper Lunch,"Mall Taman Anggrek, Jl. Letjen.S. Parman Kav.21",PT. Boga Makmur Prima,Kusnadi Rahardja,Jakarta Barat,Restoran
Pepper Lunch,"Mall Puri Indah Lt. 2 Unit 220, Jl. Puri Agung Raya",PT. Boga Makmur Prima,Kusnadi Rahardja,Jakarta Barat,Restoran
Pepper Lunch,"Central Park Mall Lt. LG Unit L-236, Jl. Letjen. S. Parman",PT. Boga Makmur Prima,Kusnadi Rahardja,Jakarta Barat,Restoran
Pines Kitchen,"Central Park, Jl. Letjen S. Parman Kav. 28 Lt. LG",PT. Cemara Arthaboga Gemilang,Hui Ling,Jakarta Barat,Restoran
Pique Nique,"PX Pavillion St.Moritz, Jl. Puri Indah Boulevard Bl",PT. Marco World,Eddy Margo Ghozali,Jakarta Barat,Restoran
Pizza E Birra,"Puri Indah Mall, Jl. Puri Agung",PT. Kharisma Birra Sejahtera,Christian Rijanto,Jakarta Barat,Restoran
Pizza E Birra,"Central Park Mall GF, Jl. Letjen.S.Parman",PT. Kharisma Birra Sejahtera,Christian Rijanto,Jakarta Barat,Restoran
Pizza Hut,Jl. Arteri. S.Parman LG2,PT. Sari Melati Kencana,Carolina Susanty,Jakarta Barat,Restoran
Pizza Hut,"Mal Puri Indah, Jl. Puri Indah Raya Lt. I/101",PT. Sari Melati Kencana,Carolina Susanty,Jakarta Barat,Restoran
Pizza Hut,"Plaza Slipi Jaya, Jl. Letjend. S. Parman Kav. 17-1",PT. Sari Melati Kencana,Carolina Susanty,Jakarta Barat,Restoran
Pizza Hut,"Menara Jayakarta, Jl. Hayam Wuruk No. 126",PT. Sari Melati Kencana,Carolina Susanty,Jakarta Barat,Restoran
Pizza Hut,Jl. Kemanggisan Raya No. 4 RT011/RW005,PT. Sari Melati Kencana,Carolina Susanti,Jakarta Barat,Restoran
Pizza Hut,Taman Ratu Indah Blok. AA-2/35,PT. Sari Melati Kencana,Carolina Susanty,Jakarta Barat,Restoran
Pizza Hut,Taman Ratu Indah Blok. AA-2/35,PT. Sari Melati Kencana,Carolina Susanty,Jakarta Barat,Restoran
Pizza Hut,"Mal Daan Mogot, Jl. Daan Mogot Km 15.6",PT. Sari Melati Kencana,Carolina Susanty,Jakarta Barat,Restoran
Pizza Hut,"Mal Ciputra, Jl. Arteri S. Parman",PT. Sari Melati Kencana,Carolina Susanty,Jakarta Barat,Restoran
Pizza Hut,"Mal Taman Anggrek, Jl. Letjend. S. Parman",PT. Sari Melati Kencana,Carolina Susanty,Jakarta Barat,Restoran
Pizza Hut,Perum Citra Garden  2 Blok J2 No. 1-2,PT. Sari Melati Kencana,Carolina Susanty,Jakarta Barat,Restoran
Pizza Hut,"Citra Garden City, Ruko Citra 6 Blok L1-A",PT. Sari Melati Kencana,Carolina Susanty,Jakarta Barat,Restoran
Pizza Hut Delivery,"Komp. Rukan Citra Niaga No. 50, Jl. Utan Jati ",PT. Sari Melati Kencana,Carolina Susanty,Jakarta Barat,Restoran
Pizza Hut Delivery,Ruko Green Garden Blok I.9 No. 6,PT. Sari Melati Kencana,Carolina Susanty,Jakarta Barat,Restoran
Pizza Hut Delivery,"Podomoro City Lt. Dasar Clemont No. 9AP, Jl. Letjen. S. Parman",PT. Sari Melati Kencana,Carolina Susanty,Jakarta Barat,Restoran
Pizza Hut Delivery,Jl. Mangga Besar Raya No. 63,PT. Sari Melati Kencana,Carolina Susanty,Jakarta Barat,Restoran
Pizza Hut Delivery,Ruko Duta Mas A-3/25 RT002/RW012,PT. Sari Melati Kencana,Carolina Susanty,Jakarta Barat,Restoran
Pizza Hut Delivery ( Phd ),Jl. Pos Pengumben Raya No. 188A,PT. Sari Melati Kencana,Carolina Susanty,Jakarta Barat,Restoran
Pizza Hut Delivery ( Phd ),Jl. Pos Pengumben Raya No. 188A,PT. Sari Melati Kencana,Carolina Susanty,Jakarta Barat,Restoran
Platinum,"Mal Ciputra, Jl. Letjen. S. Parman",PT. Champ Resto Indonesia,Ali Gunawan Budiman,Jakarta Barat,Restoran
Platinum,"Mal Puri Indah Lt. II, Jl. Puri Indah Raya",PT. Champ Resto Indonesia,"Drs. Yunus Ciptawilangga, MBA",Jakarta Barat,Restoran
Pondok Citra Grogol,Jl. Daan Mogot No. 111,PT. Citra Nusantara Perkasa,Xavarius Nursalim,Jakarta Barat,Restoran
Pondok Iga,Jl. Letjen. S.Parman Kav. 21,Alfo Jusuf Tjahaya,Alfo Jusuf Tjahaya,Jakarta Barat,Restoran
Pondok Iga,Jl. Letjen. S.Parman Kav. 21,Alfo Jusuf Tjahaya,Alfo Jusuf Tjahaya,Jakarta Barat,Restoran
Pondok Pesanggrahan,Jl. Pesanggrahan No. 6,Linawati Husein,Linawati Husein,Jakarta Barat,Restoran
Pondok Pesanggrahan,Jl. Pesanggrahan No. 6,Linawati Husein,Linawati Husein,Jakarta Barat,Restoran
Popolamama,"Mall Taman Anggrek Lt. 4, Jl. Letjen. S. Parman",PT. Indofood Comsa Sukses Makmur,Farah Milda,Jakarta Barat,Restoran
Princess Syahrini,"Mall Taman Anggrek Lt. 6, Jl. Letjen. S. Parman",PT. Edelwais Abadi International,"Puguh Hermawan, ST",Jakarta Barat,Restoran
Pujasera,Jl. Mangga Besar Raya No. 65,,Lie Lian Kwie,Jakarta Barat,Restoran
Puri 88,Jl. Puri Indah Raya Blok A No. 1-9,Agus Susanto,Agus Susanto,Jakarta Barat,Restoran
Puri Laut Seafood,Jl. Pesanggrahan No. 70 RT011/RW003,,Windawati Hermanto,Jakarta Barat,Restoran
Putien,Jl. Sukarjo Wiryo Pranoto No. 69A,PT. Putien International,The Ko Po,Jakarta Barat,Restoran
